price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,price_per_square_feet,image_path
952500,4,1.5,2550,2.0,0,0,4,10,2550,0,47.636,-122.301,1970,373.5294118,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_636_lon_-122_301_16.png
401000,2,1.0,840,1.0,0,0,4,7,840,0,47.7019,-122.366,1100,477.3809524,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7019_lon_-122_366_17.png
590000,3,2.25,2300,1.0,0,2,4,8,1580,720,47.435,-122.347,2500,256.5217391,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_435_lon_-122_347_18.png
607500,3,1.5,1800,1.0,0,0,3,7,1200,600,47.6858,-122.385,1580,337.5,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6858_lon_-122_385_19.png
461000,3,3.25,2770,2.0,0,0,3,9,1980,790,47.5228,-122.199,1900,166.4259928,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5228_lon_-122_199_20.png
659000,4,2.5,3190,1.0,0,0,5,8,2210,980,47.704,-122.3,1100,206.5830721,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_704_lon_-122_3_21.png
234000,3,1.0,1040,1.0,0,0,3,6,1040,0,47.7425,-121.981,1520,225.0,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7425_lon_-121_981_22.png
242000,3,1.75,1280,1.5,0,0,4,7,1280,0,47.3961,-122.188,1500,189.0625,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3961_lon_-122_188_23.png
424000,4,2.0,2100,2.0,0,0,3,8,2100,0,47.7521,-122.279,1450,201.9047619,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7521_lon_-122_279_24.png
760000,3,2.5,2050,1.0,0,2,3,9,1600,450,47.759,-122.371,2930,370.7317073,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_759_lon_-122_371_25.png
505000,2,1.0,1250,1.0,0,0,3,7,950,300,47.6959,-122.365,1290,404.0,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6959_lon_-122_365_26.png
430000,3,1.5,1810,1.5,0,0,3,7,1810,0,47.3392,-121.897,2480,237.5690608,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3392_lon_-121_897_27.png
496800,4,2.25,1850,2.5,0,0,3,8,1850,0,47.543,-122.372,1850,268.5405405,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_543_lon_-122_372_28.png
389950,4,2.5,2240,2.0,0,0,3,8,2240,0,47.496,-122.169,700,174.0848214,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_496_lon_-122_169_29.png
255000,2,1.0,940,1.0,0,0,3,6,940,0,47.5445,-122.273,1900,271.2765957,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5445_lon_-122_273_30.png
168000,3,1.5,1370,1.0,0,0,4,6,1370,0,47.4499,-122.189,2350,122.6277372,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4499_lon_-122_189_31.png
240000,3,2.0,1460,1.0,0,0,3,7,1460,0,47.3463,-122.304,1580,164.3835616,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3463_lon_-122_304_32.png
748000,4,3.5,2770,2.0,0,0,3,8,1970,800,47.6327,-122.109,2180,270.0361011,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6327_lon_-122_109_33.png
413800,3,2.0,1440,1.0,0,0,3,8,1440,0,47.7188,-122.024,1440,287.3611111,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7188_lon_-122_024_34.png
350000,3,1.75,1260,2.0,0,0,3,8,1260,0,47.5476,-122.005,1410,277.7777778,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5476_lon_-122_005_35.png
840000,3,1.75,2020,1.0,0,0,4,8,1090,930,47.6726,-122.294,1680,415.8415842,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6726_lon_-122_294_36.png
279000,3,2.5,1920,2.0,0,0,3,7,1920,0,47.4024,-122.171,1960,145.3125,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4024_lon_-122_171_37.png
370000,3,1.75,1620,2.0,0,0,4,7,1620,0,47.2875,-122.289,2190,228.3950617,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_2875_lon_-122_289_38.png
680000,3,2.5,2060,2.0,0,0,3,8,1900,160,47.5881,-122.165,2060,330.0970874,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5881_lon_-122_165_39.png
500000,4,2.0,1980,2.0,0,0,4,7,1980,0,47.6728,-122.379,1550,252.5252525,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6728_lon_-122_379_40.png
650000,3,1.75,1940,1.0,0,0,3,7,1940,0,47.5833,-122.241,2720,335.0515464,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5833_lon_-122_241_41.png
234000,4,1.0,1390,1.0,0,0,3,7,1390,0,47.3885,-122.284,1390,168.3453237,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3885_lon_-122_284_42.png
605000,4,2.75,1670,1.0,0,0,5,7,840,830,47.5496,-122.385,1100,362.2754491,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5496_lon_-122_385_43.png
470000,3,2.0,1730,1.0,0,0,3,8,1730,0,47.4164,-121.951,2130,271.6763006,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4164_lon_-121_951_44.png
663000,3,2.5,2480,1.5,1,3,4,8,2480,0,47.4003,-122.422,2350,267.3387097,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4003_lon_-122_422_45.png
416000,2,1.75,1270,1.5,0,0,4,7,1270,0,47.7083,-122.357,1480,327.5590551,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7083_lon_-122_357_46.png
336500,3,2.25,1420,2.0,0,0,4,7,1420,0,47.7245,-122.163,1150,236.971831,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7245_lon_-122_163_47.png
353000,3,2.5,2550,2.0,0,0,3,7,2550,0,47.3828,-122.211,2080,138.4313725,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3828_lon_-122_211_48.png
269000,4,2.5,1594,1.0,0,0,5,7,1088,506,47.3262,-122.211,1536,168.7578419,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3262_lon_-122_211_49.png
438400,2,1.0,1340,1.0,0,0,4,7,1340,0,47.7218,-122.37,1700,327.1641791,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7218_lon_-122_37_50.png
410000,3,2.0,1750,1.0,0,0,3,7,1750,0,47.7329,-122.343,1370,234.2857143,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7329_lon_-122_343_51.png
150000,2,1.0,720,1.0,0,0,3,5,720,0,47.422,-122.066,2010,208.3333333,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_422_lon_-122_066_52.png
204000,3,1.0,980,1.0,0,0,4,6,980,0,47.42,-122.317,1240,208.1632653,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_42_lon_-122_317_53.png
401000,3,2.75,2020,1.0,0,0,3,7,1260,760,47.7399,-122.197,2080,198.5148515,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7399_lon_-122_197_54.png
480000,4,1.75,2220,2.0,0,3,4,8,2220,0,47.4519,-122.375,2430,216.2162162,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4519_lon_-122_375_55.png
641000,5,3.5,3420,2.0,0,2,3,8,2700,720,47.5162,-121.874,2710,187.4269006,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5162_lon_-121_874_56.png
330000,4,2.5,2380,2.0,0,0,3,7,2380,0,47.4486,-122.288,1230,138.6554622,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4486_lon_-122_288_57.png
339000,4,2.5,1740,1.0,0,0,4,7,1740,0,47.5026,-122.236,1190,194.8275862,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5026_lon_-122_236_58.png
350000,6,4.5,3500,2.0,0,0,3,7,3500,0,47.7351,-122.295,1550,100.0,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7351_lon_-122_295_59.png
352499,2,2.25,1240,2.0,0,0,3,7,1150,90,47.5321,-122.073,1240,284.2733871,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5321_lon_-122_073_60.png
282000,4,2.0,1890,2.0,0,0,3,7,1890,0,47.3846,-122.205,1690,149.2063492,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3846_lon_-122_205_61.png
300000,3,1.0,1380,1.0,0,0,3,7,1380,0,47.3997,-122.215,1890,217.3913043,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3997_lon_-122_215_62.png
1375000,4,3.5,3500,2.0,0,0,3,10,2460,1040,47.6848,-122.208,3160,392.8571429,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6848_lon_-122_208_63.png
1000000,5,1.0,2010,1.5,0,0,3,9,1890,120,47.6501,-122.37,2330,497.5124378,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6501_lon_-122_37_64.png
476000,3,1.0,1140,1.5,0,0,4,6,1140,0,47.6606,-122.395,1690,417.5438596,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6606_lon_-122_395_65.png
260000,3,1.75,2160,1.0,0,0,4,7,2160,0,47.7355,-121.982,1820,120.3703704,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7355_lon_-121_982_66.png
315000,3,2.0,1770,1.0,0,0,3,5,1770,0,47.4753,-122.342,1520,177.9661017,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4753_lon_-122_342_67.png
340000,3,1.75,1740,1.0,0,0,4,7,1740,0,47.3583,-121.927,1576,195.4022989,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3583_lon_-121_927_68.png
157000,3,1.5,1170,1.0,0,0,3,7,1170,0,47.4211,-122.29,1550,134.1880342,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4211_lon_-122_29_69.png
570000,4,3.0,2460,1.0,0,0,5,7,1700,760,47.7106,-122.285,1470,231.7073171,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7106_lon_-122_285_70.png
358000,3,1.0,890,1.0,0,0,4,7,890,0,47.5398,-122.178,1270,402.247191,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5398_lon_-122_178_71.png
660000,6,1.75,1840,1.0,0,0,3,7,1060,780,47.6041,-122.31,1680,358.6956522,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6041_lon_-122_31_72.png
810000,3,1.5,1520,1.0,0,0,4,7,1520,0,47.6158,-122.213,3260,532.8947368,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6158_lon_-122_213_73.png
4489000,4,3.0,6430,2.0,0,0,3,12,6430,0,47.6208,-122.219,3720,698.1337481,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6208_lon_-122_219_74.png
905000,3,2.5,3450,2.0,0,0,3,10,3450,0,47.739,-122.129,2810,262.3188406,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_739_lon_-122_129_75.png
679000,3,2.5,1780,2.0,0,0,4,8,1780,0,47.6809,-122.293,1690,381.4606742,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6809_lon_-122_293_76.png
1388000,4,2.25,2940,2.0,0,0,4,9,2940,0,47.6214,-122.227,3410,472.1088435,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6214_lon_-122_227_77.png
305000,4,2.5,2430,2.0,0,0,3,8,2430,0,47.3348,-122.19,2100,125.5144033,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3348_lon_-122_19_78.png
1107460,4,3.5,3660,2.0,0,0,3,9,2840,820,47.6482,-122.409,3210,302.5846995,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6482_lon_-122_409_79.png
425000,3,2.5,2650,1.0,0,0,3,8,2650,0,47.4212,-122.144,1940,160.3773585,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4212_lon_-122_144_80.png
420000,5,1.5,1890,1.0,0,0,3,7,1890,0,47.7196,-122.197,1670,222.2222222,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7196_lon_-122_197_81.png
549500,3,1.75,1620,1.0,0,0,4,8,1620,0,47.703,-122.281,2040,339.1975309,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_703_lon_-122_281_82.png
630000,4,2.5,2510,1.0,0,0,4,8,1610,900,47.5834,-122.003,2080,250.9960159,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5834_lon_-122_003_83.png
635000,3,3.0,2230,2.5,0,0,3,8,1850,380,47.5446,-122.017,2290,284.7533632,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5446_lon_-122_017_84.png
429000,3,2.5,1860,2.0,0,0,3,8,1860,0,47.5062,-122.151,2420,230.6451613,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5062_lon_-122_151_85.png
335000,3,1.5,1900,1.0,0,0,5,7,1900,0,47.5091,-122.19,1410,176.3157895,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5091_lon_-122_19_86.png
238000,3,1.5,1370,1.0,0,0,4,6,1370,0,47.4499,-122.189,2350,173.7226277,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4499_lon_-122_189_87.png
316475,4,2.5,1740,2.0,0,0,3,7,1740,0,47.3686,-122.117,1950,181.8821839,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3686_lon_-122_117_88.png
285000,3,1.0,1120,1.0,0,0,3,7,1120,0,47.5544,-122.358,1130,254.4642857,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5544_lon_-122_358_89.png
856600,4,2.25,2400,1.0,0,0,4,9,2400,0,47.5987,-122.178,2580,356.9166667,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5987_lon_-122_178_90.png
699000,5,2.5,3340,2.0,0,0,3,10,3340,0,47.4565,-122.066,3420,209.2814371,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4565_lon_-122_066_91.png
389950,3,2.25,1580,3.0,0,0,3,8,1580,0,47.5578,-122.363,1250,246.8037975,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5578_lon_-122_363_92.png
960000,5,3.5,4510,2.0,0,0,3,10,2820,1690,47.6346,-122.011,4330,212.8603104,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6346_lon_-122_011_93.png
300000,3,1.75,1210,1.0,0,0,3,7,1210,0,47.4572,-122.169,1670,247.9338843,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4572_lon_-122_169_94.png
530100,3,1.0,1540,1.5,0,0,3,7,1200,340,47.6853,-122.359,1500,344.2207792,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6853_lon_-122_359_95.png
599000,4,1.0,1590,1.5,0,0,3,7,1590,0,47.667,-122.335,2230,376.7295597,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_667_lon_-122_335_96.png
515000,2,1.75,1930,1.0,0,0,3,8,1930,0,47.7173,-122.034,1810,266.8393782,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7173_lon_-122_034_97.png
237000,3,1.0,1300,1.0,0,0,4,7,1300,0,47.511,-122.172,1290,182.3076923,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_511_lon_-122_172_98.png
1740000,5,3.25,3930,2.0,0,0,3,9,2910,1020,47.6802,-122.208,2040,442.7480916,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6802_lon_-122_208_99.png
2544750,5,4.75,5410,2.0,0,0,4,10,5050,360,47.6306,-122.288,3750,470.3789279,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6306_lon_-122_288_100.png
239000,3,1.0,940,1.0,0,0,3,6,940,0,47.5006,-122.336,1100,254.2553191,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5006_lon_-122_336_101.png
572500,3,1.0,1590,1.5,0,0,4,7,1290,300,47.6807,-122.399,1770,360.0628931,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6807_lon_-122_399_102.png
780000,4,3.0,2440,1.5,0,0,5,8,1480,960,47.6853,-122.331,1770,319.6721311,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6853_lon_-122_331_103.png
575000,3,2.5,1870,2.0,0,0,3,8,1870,0,47.5493,-122.004,1940,307.486631,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5493_lon_-122_004_104.png
765000,3,2.25,3190,2.0,0,2,3,9,3190,0,47.5477,-121.93,3190,239.8119122,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5477_lon_-121_93_105.png
500000,3,1.75,2420,2.0,0,1,3,8,2420,0,47.6525,-122.087,2970,206.6115702,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6525_lon_-122_087_106.png
471500,3,2.5,2430,2.0,0,0,3,7,2430,0,47.5158,-121.871,2380,194.0329218,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5158_lon_-121_871_107.png
415000,2,2.5,1160,3.0,0,0,3,8,1160,0,47.6543,-122.358,1320,357.7586207,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6543_lon_-122_358_108.png
229500,1,1.0,1180,1.0,0,2,3,6,1180,0,47.4007,-122.323,1890,194.4915254,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4007_lon_-122_323_109.png
510000,3,1.75,1610,1.0,0,2,3,7,1210,400,47.6705,-122.138,1610,316.7701863,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6705_lon_-122_138_110.png
485000,3,2.5,1650,2.0,0,0,3,8,1650,0,47.5998,-122.016,1650,293.9393939,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5998_lon_-122_016_111.png
480000,3,2.25,1820,1.0,0,0,3,7,1480,340,47.7401,-122.249,1930,263.7362637,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7401_lon_-122_249_112.png
442500,4,2.25,1840,1.0,0,0,4,7,1390,450,47.7328,-122.198,1820,240.4891304,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7328_lon_-122_198_113.png
358500,2,1.75,1400,2.0,0,0,3,8,1110,290,47.5478,-121.999,1380,256.0714286,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5478_lon_-121_999_114.png
257000,3,1.75,1330,1.0,0,0,4,7,1330,0,47.3126,-122.129,1650,193.2330827,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3126_lon_-122_129_115.png
499000,4,2.25,2440,2.0,0,0,3,7,2440,0,47.5407,-121.89,2440,204.5081967,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5407_lon_-121_89_116.png
205000,3,1.0,1610,1.0,0,0,4,7,1010,600,47.4563,-122.171,1610,127.3291925,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4563_lon_-122_171_117.png
415000,3,2.25,1970,2.0,0,0,3,8,1680,290,47.5631,-122.297,1690,210.6598985,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5631_lon_-122_297_118.png
304000,3,2.5,1670,2.0,0,0,3,8,1670,0,47.3925,-122.165,1920,182.0359281,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3925_lon_-122_165_119.png
374500,3,1.5,1330,1.0,0,0,4,7,1330,0,47.7289,-122.203,1370,281.5789474,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7289_lon_-122_203_120.png
381156,2,1.0,1320,1.0,0,0,4,7,1320,0,47.5517,-122.276,1270,288.7545455,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5517_lon_-122_276_121.png
700000,3,1.5,1580,1.0,0,0,3,8,1290,290,47.687,-122.386,1570,443.0379747,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_687_lon_-122_386_122.png
266500,4,1.75,1880,1.0,0,0,4,7,1180,700,47.3068,-122.372,1840,141.7553191,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3068_lon_-122_372_123.png
739000,3,2.5,2810,2.0,0,0,3,9,2810,0,47.7065,-122.118,2870,262.9893238,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7065_lon_-122_118_124.png
257000,3,2.25,1810,2.0,0,0,3,7,1810,0,47.3476,-122.3,1720,141.9889503,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3476_lon_-122_3_125.png
450000,3,1.75,3150,1.0,0,1,3,8,2370,780,47.5571,-122.08,2740,142.8571429,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5571_lon_-122_08_126.png
427000,3,1.75,2000,1.0,0,0,4,7,1360,640,47.7676,-122.373,1830,213.5,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7676_lon_-122_373_127.png
235000,4,1.0,1500,1.5,0,0,3,6,1500,0,47.4979,-122.24,1190,156.6666667,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4979_lon_-122_24_128.png
245000,3,2.5,1730,2.0,0,0,3,7,1730,0,47.3507,-122.178,1630,141.6184971,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3507_lon_-122_178_129.png
1506000,4,3.25,3660,2.5,0,0,3,10,3360,300,47.6283,-122.312,3240,411.4754098,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6283_lon_-122_312_130.png
360000,3,1.75,1510,1.0,0,0,3,7,1060,450,47.5535,-122.39,1610,238.410596,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5535_lon_-122_39_131.png
110000,2,1.0,830,1.0,0,0,2,6,830,0,47.4784,-122.335,980,132.5301205,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4784_lon_-122_335_132.png
319950,4,2.5,2038,2.0,0,0,3,8,2038,0,47.3296,-122.18,2634,156.9921492,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3296_lon_-122_18_133.png
1425000,2,2.5,2220,2.0,0,0,3,9,2220,0,47.6364,-122.28,1870,641.8918919,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6364_lon_-122_28_134.png
637800,4,1.75,2250,1.5,0,0,4,7,1420,830,47.6738,-122.292,1930,283.4666667,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6738_lon_-122_292_135.png
870000,4,2.5,3190,2.0,0,0,3,11,3190,0,47.713,-122.072,3420,272.7272727,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_713_lon_-122_072_136.png
632000,5,2.5,2260,1.0,0,0,3,8,1520,740,47.5982,-122.128,2500,279.6460177,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5982_lon_-122_128_137.png
248500,3,2.5,1360,2.0,0,0,3,8,1360,0,47.3304,-122.302,1540,182.7205882,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3304_lon_-122_302_138.png
340000,3,2.25,2630,2.0,0,0,4,9,2630,0,47.3314,-122.202,2470,129.2775665,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3314_lon_-122_202_139.png
329950,2,2.25,1260,2.0,0,0,3,7,1170,90,47.5323,-122.072,1240,261.8650794,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5323_lon_-122_072_140.png
655000,3,2.5,2370,2.0,0,0,3,9,2370,0,47.528,-122.171,2500,276.371308,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_528_lon_-122_171_141.png
225000,3,2.0,1100,1.0,0,0,3,6,1100,0,47.3606,-122.083,1050,204.5454545,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3606_lon_-122_083_142.png
635000,5,3.5,4150,2.0,0,0,3,11,4150,0,47.3417,-122.182,3840,153.0120482,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3417_lon_-122_182_143.png
